Blog	fit	songwriter	size	needed	nature	crowd	bottom	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	era	production	ended	tomorrow	caught	food	evening	obviously	similar	although	camera	meet	including	university	key	http	beats	met	movies	personal	father	fuck	themselves	label	august	zero	acts	chart	entire	hair	excellent	detroit	figure	jazz	cast	focus	store	solo	sonic	questions	nick	meaning	g	april	twitter	theme	score	type	current	date	data	definitions	padding	twin	acoustic	act	imagine	relationship	sex	rose	points	clearly	edition	drum	co	cm	ca	tstyle	cd	moments	kept	minor	december	hall	el	en	ep	recorded	genre	liked	gt	download	click	ben	bed	parker	anyway	vinyl	loud	near	www	language	bowie	audience	field	deluxe	starting	titled	search	throughout	create	understand	bill	excited	per	groove	national	center	buy	several	christmas	ok	melody	smith	fucking	brain	table	k	worked	previous	brought	son	support	awesome	hop	debut	johnny	continue	un	uk	decade	meant	player	interview	inspired	welcome	rhythm	happen	british	floor	rules	wolf	instrumental	history	cave	sounded	win	stories	whose	features	subject	san	mouse	human	character	text	latin	nearly	general	members	para	recording	fans	matt	onto	hearing	plus	copy	unfortunately	ideas	alt	v	expect	hotel	wanna	river	wall	whether	beauty	busy	result	asked	success	tune	slightly	films	beatles	complete	certain	van	elements	produced	included	indie	business	area	aren	building	february	college	singing	becomes	mentioned	coast	overall	orphan	career	began	effect	starts	bar	jones	main	voices	among	collection	mention	bear	alive	metal	ray	cambria	longer	quick	sessions	stream	review	archive	hip	various	became	women	pure	lead	june	golden	service	singer	dave	shadow	begin	choice	internet	wants	ascii	series	november	followed	land	process	length	jam	web	electronic	amount	musical	peel	non	vocals	america	verse	using	beyond	station	feels	culture	chris	popular	michael	ryan	tunes	widow	hits	parts	north	likely	recordings	fantastic	seven	somehow	round	visit	drummer	images	sitting	facebook	absolutely	epic	planet	access	despite	que	brother	october	saturday	news	level	featuring	musicians	folk	feat	bought	perhaps	difficult	straight	episode	possible	possibly	unique	team	spot	industry	image	content	section	pick	action	archives	information	w	session	synth	recent	link	led	lee	standing	doubt	sister	hansi	thoughts	dr	indeed	entirely	okay	mostly	ground	concert	media	site	fully	bass	towards	seeing	himself	classic	shit	digital	effort	question	margin	totally	drums	material	include	pay	spend	giving	enjoyed	pagination	lo	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	joe	events	easily	september	added	recently	pt	due	pm	mountain	built	steve	particularly	january	guitarist	example	desire	brilliant	large	magic	system	listened	ghost	total	south	loved	brothers	certainly	presented	usually	truly	cannot	los	issue	wonderful	damn	noise	perfectly	jeff	immediately	peter	phone	important	f	apparently	mid	mix	add	jack	plenty	approach	games	quickly	gig	based	happened	gives	releases	ya	missed	underground	birthday	remix	july	piano	mike	present	boston	season	punk	bandcamp	via	soundtrack	major	vocal	familiar	lucky	eventually	guitars	title	heaven	event	albums	plays	control	quality	playlist	broadcast	definitely	lyrics	lake	theatre	normal	parent	particular	dj	dad	dan	soft	created	venue	changed	changes	driving	earlier	font	closer	simply
IoTube     :)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stonehill Sketchbook	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DaveCromwell Writes	8	17	5	5	12	15	2	4	1	4	4	10	1	10	0	3	23	4	2	6	0	26	19	4	1	6	1	15	4	18	22	3	5	10	1	3	13	6	4	0	17	2	3	12	23	2	0	11	0	12	5	2	0	7	9	2	9	3	19	50	8	8	6	1	7	0	14	1	4	20	3	0	0	0	1	19	13	4	5	4	8	12	6	2	21	14	0	1	0	3	11	5	5	2	13	0	0	29	32	18	4	0	8	1	5	4	0	3	7	1	8	6	0	5	32	8	0	1	16	3	32	15	2	2	3	0	10	2	10	0	3	0	5	12	3	3	2	3	2	13	20	15	0	8	4	3	31	3	9	0	5	3	2	8	29	13	6	13	2	8	2	1	4	14	8	0	10	2	2	5	31	10	3	4	7	1	4	1	4	7	12	0	124	22	4	3	4	4	4	1	11	2	0	18	2	1	1	3	4	3	4	3	7	1	2	2	1	9	7	15	2	16	20	7	7	3	6	3	6	5	0	10	9	7	6	41	1	12	5	6	7	4	7	5	14	4	6	5	1	6	12	23	0	4	9	3	9	13	0	3	6	3	6	4	28	8	5	1	27	44	0	7	1	2	4	0	7	7	4	1	34	24	3	10	19	7	22	1	1	83	1	6	7	1	2	6	3	3	9	5	3	5	0	5	9	3	2	19	2	3	2	0	1	22	5	5	5	4	3	0	7	3	0	6	14	11	0	28	6	7	10	0	1	6	4	7	3	9	4	17	4	2	3	12	7	10	5	2	2	3	0	7	29	18	5	9	2	1	7	1	0	3	0	1	3	0	2	1	8	5	7	10	69	14	3	4	34	10	5	10	5	0	3	33	12	3	0	4	11	1	0	1	0	3	1	23	56	26	3	1	0	5	12	12	3	12	10	38	0	5	4	3	11	9	24	1	25	2	4	11	0	7	1	1	2	11	7	3	6	9	20	8	15	2	3	36	23	3	8	8	11	12	8	1	18	1	2	10	19	16	8	2	22	1	7	3	16	1	5	12	1	0	7	0	2	6	30	12	22	0	2	20	7	20	4	3	62	9	4	1	35	23	9	28	20	9	4	29	2	0	19	45	5	0	1	0	34	5	4	3	9	6	13	3	8	15	16	0	9	10
T H E V O I D S	12	0	21	20	1	0	20	1	0	0	0	0	4	0	23	0	1	2	19	1	0	0	15	0	0	1	0	1	2	19	4	22	0	7	1	1	2	1	1	0	0	0	0	1	4	0	0	0	0	1	1	0	0	5	1	0	5	0	0	0	3	0	7	1	1	7	29	0	9	0	1	1	6	6	0	0	2	0	1	0	0	2	2	1	3	1	18	0	12	10	0	10	14	0	0	0	10	0	0	32	10	0	2	0	7	0	0	0	3	2	0	1	3	0	47	0	0	1	0	0	29	40	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	14	2	2	2	0	0	0	0	0	2	0	0	1	3	0	12	0	0	8	0	0	2	0	1	0	0	3	0	0	0	0	0	0	9	0	0	0	0	2	17	12	0	4	52	12	10	2	0	7	0	2	12	1	24	7	1	1	0	0	0	4	5	0	3	1	4	0	0	9	0	1	3	1	3	5	3	4	45	0	2	0	9	0	3	7	0	0	0	8	6	0	0	13	0	1	0	29	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	3	0	1	0	3	0	0	0	6	0	0	1	2	1	1	12	1	0	1	0	15	2	0	0	0	5	0	0	0	0	0	0	27	0	0	1	2	0	1	0	0	0	6	0	5	1	2	0	0	0	0	7	0	1	19	0	0	0	0	0	2	1	0	1	6	0	0	0	0	0	2	0	0	3	2	3	0	9	3	11	1	1	1	35	1	1	3	4	0	10	1	0	0	1	1	0	0	4	0	0	12	0	0	0	1	0	6	1	0	25	1	1	0	2	1	3	1	0	1	1	3	12	5	3	0	12	1	0	1	1	6	0	0	0	3	0	19	14	0	1	86	6	3	1	8	0	11	0	24	21	0	6	0	0	0	1	1	8	0	0	7	2	0	0	0	2	0	0	0	0	2	6	0	1	0	0	0	0	2	3	0	0	1	2	8	0	0	2	1	6	4	1	1	0	4	1	8	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	3	2	2	0	0	2	0	1	9	0	0	0	20	0	0	13	6	4	0	0	0	0	20	1	8	13	0	1	65	0	1
The Campus Buzz on WSOU	0	0	104	1	3	1	37	4	40	9	1	1	9	1	0	1	4	4	96	0	4	1	0	2	9	3	3	6	0	0	1	13	2	2	8	2	1	0	0	0	0	9	0	0	0	3	4	1	0	1	9	0	0	1	4	2	0	1	7	14	1	3	0	18	1	0	64	0	6	2	0	2	32	32	30	17	0	8	0	9	3	1	0	0	12	0	0	2	64	0	0	0	63	4	8	11	32	7	0	0	1	0	0	0	12	9	0	1	2	2	0	0	0	1	2	5	0	1	2	0	0	1	1	0	1	0	0	53	0	0	0	13	10	1	8	0	5	64	4	0	0	1	11	0	11	25	1	0	1	1	0	0	6	0	10	0	3	2	9	0	6	0	13	0	0	3	0	0	2	1	3	0	24	14	5	0	0	64	0	2	0	66	1	0	24	1	1	1	1	0	3	71	3	1	7	30	25	8	0	2	0	0	1	0	16	0	0	0	2	2	3	0	0	0	6	0	1	0	0	0	2	1	0	0	19	0	33	0	0	0	6	1	0	4	21	1	0	0	27	17	2	4	90	18	1	0	0	10	0	1	2	0	0	4	1	5	11	2	3	3	12	4	0	0	4	62	0	0	0	5	0	3	1	1	0	1	0	0	0	1	2	2	0	1	4	7	0	3	0	2	43	5	32	1	8	4	0	2	2	3	0	4	2	0	0	0	0	1	1	3	1	0	0	8	1	3	6	1	2	0	0	11	1	0	0	3	0	0	0	0	9	0	0	1	0	0	2	4	0	0	1	0	0	0	0	0	2	0	4	4	62	1	15	0	0	2	0	5	1	0	0	2	11	0	1	0	1	0	0	0	0	66	3	9	1	1	2	0	3	14	32	0	0	0	0	1	8	1	3	6	446	1	0	0	0	1	1	0	132	0	5	8	29	1	0	6	0	1	4	0	4	11	1	0	25	3	1	1	7	0	0	0	0	2	15	0	4	0	11	0	9	0	4	4	1	2	0	0	1	0	23	0	0	2	0	0	0	6	0	0	1	9	3	4	1	3	0	5	1	0	4	3	0	0	2	2	0	0	2	0	3	9	17	0	4	1	7	0	189	0	2	2	8	2	66	32	0	4	3	13	1	0	0	1	1	1	0	188	10	0
jaaackie.	1	0	0	2	0	0	1	10	0	1	6	0	0	0	0	0	0	1	0	0	5	1	0	0	8	2	4	1	0	1	2	2	1	2	0	0	1	0	0	1	6	0	5	0	0	0	2	2	3	1	1	0	0	0	1	0	1	3	0	0	8	0	1	1	0	4	0	0	6	1	3	0	0	0	0	0	3	1	3	1	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	4	0	10	0	2	0	1	0	0	0	0	0	2	0	0	0	2	3	0	7	0	0	0	0	6	0	0	0	0	0	7	0	0	0	1	1	5	0	1	2	0	2	0	2	0	0	0	2	1	0	0	1	0	5	0	2	0	0	0	0	0	0	1	0	2	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	3	0	0	0	2	5	0	1	1	3	0	0	0	0	0	2	2	1	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	1	1	5	1	0	0	1	0	0	1	0	3	0	0	0	3	2	0	0	0	0	0	0	5	0	0	0	1	1	0	0	0	0	4	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	7	0	0	0	1	0	0	2	0	0	0	0	51	0	0	3	1	0	0	0	1	1	1	0	1	0	0	1	1	6	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	2	0	0	3	0	1	1	0	0	0	0	4	0	0	0	4	1	0	0	0	0	0	1	2	0	0	8	0	1	0	23	0	2	1	0	0	0	0	0	1	0	0	8	1	1	11	0	1	0	0	1	2	2	1	0	0	0	7	0	0	0	0	0	1	3	0	0	0	2	1	4	1	0	0	1	7	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	10	2	0	2	2	0	5	0	2	0	1	0	2	5	7	0	0	0	2	1	1	0	0	3	0	0	6	2	0	0	0	0	4	0	2	2	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	5	0	0	0	0	1	0	0	3	0	0	1	0	3	0	4	2	0	2	1
A2 MEDIA COURSEWORK JOINT BLOG	3	0	4	6	1	2	10	0	0	0	0	0	0	0	10	1	1	0	0	0	2	0	1	0	0	1	1	0	5	11	5	32	0	2	1	5	1	0	0	1	2	0	0	2	10	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	1	0	0	8	0	0	2	3	8	0	0	0	0	0	1	0	6	0	0	0	1	0	2	0	0	0	0	7	0	2	1	0	0	0	2	2	0	11	11	0	0	1	5	0	0	0	0	0	0	1	2	0	24	0	0	3	0	1	19	12	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	6	5	1	0	1	0	1	0	0	3	0	1	0	1	0	0	4	0	1	0	0	1	0	1	0	0	0	0	0	0	1	8	0	0	1	0	0	23	0	1	1	32	0	0	0	4	7	0	0	0	0	7	2	0	1	0	0	0	1	0	0	0	1	0	1	0	3	0	0	4	0	0	1	1	0	6	1	0	0	1	0	5	1	1	1	0	2	0	0	4	8	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	1	10	0	1	0	13	0	0	0	9	0	5	5	7	1	1	0	0	4	7	0	10	0	0	0	0	4	1	0	0	1	0	0	10	0	0	2	0	0	2	0	0	0	0	1	2	0	2	1	0	0	1	3	1	1	15	0	2	0	0	1	1	6	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	11	1	3	1	1	1	42	3	5	0	0	0	8	1	3	0	2	2	1	0	2	2	0	0	1	0	0	1	0	0	0	0	12	0	2	3	2	1	6	0	0	0	1	13	0	0	4	0	3	0	0	3	0	0	0	0	0	1	0	1	9	0	0	0	0	9	0	0	3	18	1	0	17	3	4	0	0	2	0	0	7	0	0	4	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	1	1	0	0	1	1	6	0	0	15	0	1	0	7	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	12	0	1	2	0	1	2	0	0	1	9	0	0	1	0	7	0	0	0	0	13	1	13	6	0	1	17	2	5
The Girl at the Rock Show	4	7	7	8	2	42	2	24	2	0	4	8	2	2	1	1	1	19	7	0	3	2	2	11	1	5	4	7	22	6	18	4	9	6	3	6	3	0	11	6	9	0	2	7	3	5	0	13	0	13	9	0	0	4	3	1	5	4	16	1	4	2	1	0	9	6	5	3	3	5	7	0	1	1	0	6	8	2	1	4	0	6	3	2	1	3	0	0	2	19	10	9	9	1	5	1	0	20	7	2	14	1	5	1	4	4	10	34	2	5	9	12	1	2	16	3	1	7	3	2	14	4	5	3	13	1	1	2	11	16	17	24	6	1	0	0	1	3	5	5	10	0	0	8	15	5	19	4	4	0	2	7	5	3	16	8	5	0	10	6	5	2	2	1	11	1	6	2	1	1	6	1	2	0	6	4	1	2	1	6	19	2	5	59	1	5	8	20	6	7	2	1	1	3	4	2	1	3	12	2	16	5	3	9	5	5	1	1	11	5	3	1	3	2	13	7	5	5	3	4	31	14	4	5	0	5	1	10	13	1	5	9	3	7	2	3	13	8	5	6	1	1	2	6	5	0	2	24	0	6	0	10	3	1	19	8	1	3	29	2	2	4	0	18	7	2	4	2	4	2	8	11	5	2	1	6	18	0	6	11	6	0	6	3	3	16	4	3	1	2	3	10	1	3	8	4	3	2	17	7	11	5	4	8	0	3	5	15	13	1	1	18	0	2	8	2	3	4	4	22	5	0	10	1	4	0	0	5	5	2	6	3	3	0	1	1	2	2	0	5	1	0	3	3	3	1	2	6	2	3	2	2	1	0	1	16	10	0	34	3	10	1	1	2	15	4	6	1	3	7	0	2	13	1	5	7	4	8	5	8	1	4	1	0	0	13	1	14	9	3	15	2	6	2	5	8	1	11	6	2	3	2	0	2	10	4	8	3	2	2	4	1	2	13	5	2	2	11	1	16	1	13	15	4	1	3	6	12	0	5	0	17	0	2	6	3	13	3	7	5	15	11	0	0	8	0	7	9	4	2	0	5	1	7	0	4	8	7	0	43	2	17	0	1	17	2	2	5	7	11	1	16	7	37	41	5	3	9	16	2	9	26	1	3	6	1	10	1	4	2	5	9	8	9	2	1	5	8	0	10
Rosie Gigg A2 Media Studies	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	2	2	1	0	0	0	0	1	10	7	3	1	3	0	0	0	1	0	0	2	0	0	3	4	1	0	2	8	0	1	0	0	0	0	0	1	0	1	0	3	0	1	1	0	2	0	0	2	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	4	1	0	9	14	0	1	0	0	0	0	0	1	0	0	0	0	0	16	2	0	0	0	0	0	5	1	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	1	2	1	1	0	0	0	0	1	0	1	0	4	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	2	2	2	10	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	3	1	0	0	4	2	2	40	0	0	0	0	0	0	1	0	0	0	2	0	1	3	4	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	6	0	0	1	0	1	7	0	0	0	0	1	1	0	1	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	3	0	0	1	0	1	8	1	0	0	0	0	2	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	1	0	0	6	0	0	0	0	0	0	3	1	0	2	0	0	2	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	2	1	10	1	0	0	1	0	0	1	0	0	0	0	0	2	0	2	0	7	0	0	0	0	0	3	5	0	3	0	1	3	0	1	1	14	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0
Samtastic! Review	3	0	90	3	1	3	31	2	3	1	2	3	0	3	0	3	0	1	90	0	0	1	3	4	10	0	1	1	7	0	2	1	1	2	0	1	1496	0	4	2	2	2	7	1	2	7	0	0	0	3	2	0	3	0	0	0	1	3	5	0	0	1	3	4	14	88	96	0	2	10	1	6	30	30	37	3	1	1	1	8	2	1	1	9	2	9	0	13	60	3	1	2	89	5	14	0	33	13	7	1	0	12	4	0	1	0	3	14	5	2	1	1384	3	0	2	1	9	2	3	0	3	1	1	0	14	1	0	0	18	18	2	0	7	1	8	4	4	60	4	0	0	1	4	5	15	3	9	2	0	2	8	0	3	0	22	4	0	2	4	0	0	0	126	0	1	0	0	5	1	0	0	0	9	0	1	0	0	60	0	8	1	118	1	3	1	1	1	4	1	0	1	31	13	1	2	6	0	1	0	1	4	0	1	0	6	2	0	0	3	1	3	1	5	2	0	5	0	0	0	6	0	2	0	0	1	2	30	1	0	1	3	0	0	5	1	0	0	1	2	1	1	4	3	2	2	2	2	1293	0	4	1	0	2	2	5	13	0	0	5	0	35	0	0	7	2	60	4	2	0	4	2	2	1	0	0	3	1	3	1	7	2	0	3	2	0	11	0	1	0	16	4	1	30	4	1	3	0	1	10	0	1	0	2	0	0	1	27	1	5	0	0	0	1	0	9	2	6	3	2	1	0	14	1	0	0	1	11	4	2	1	0	0	0	0	1	0	0	2	1	1	6	1	0	1	5	1	4	0	0	1	60	0	0	0	0	0	3	2	10	1	2	3	0	3	3	4	4	2	0	0	1	118	19	2	4	1	1	1	4	1	30	0	2	1	0	2	8	3	3	5	565	18	6	5	2	13	1	4	122	5	0	0	1	1	0	5	1	2	1	0	0	2	0	2	2	2	0	5	0	2	1	0	2	0	5	1	5	4	1	1	14	0	0	1	2	5	1	0	2	2	5	0	0	0	0	0	1	14	1	0	2	4	1	11	6	11	1	5	4	3	6	4	1	2	0	3	1	0	1	1	0	2	0	6	6	1	0	2	30	0	3	6	4	8	62	30	1	0	0	0	0	3	5	2	0	0	1	238	0	1
The Listening Ear	10	4	4	11	8	3	2	4	9	4	7	15	8	20	0	2	1	16	0	4	24	8	5	14	10	8	9	4	18	11	0	18	4	6	0	3	0	10	3	12	6	28	3	26	0	9	4	10	0	1	5	9	4	10	8	5	4	7	24	9	4	22	7	1	17	2	7	5	5	4	6	11	0	0	1	2	25	20	8	11	2	6	4	5	3	4	0	2	0	9	9	25	3	5	2	0	0	0	0	4	37	2	0	1	8	4	4	53	1	1	10	1	4	33	3	15	0	31	0	4	8	7	7	13	2	1	4	11	6	5	9	26	2	4	8	4	4	2	1	16	2	23	13	7	0	4	0	19	17	1	2	8	14	9	2	8	4	5	12	21	6	3	0	5	39	36	10	79	25	7	3	8	7	5	17	10	2	0	5	18	0	0	7	10	3	2	7	11	6	6	15	0	10	21	18	9	6	16	14	7	3	6	1	5	4	2	103	48	16	6	12	4	4	0	0	8	5	29	4	4	10	24	11	6	2	5	0	20	11	8	14	3	2	14	11	15	7	9	2	17	10	5	0	9	9	3	0	1	1	1	5	20	14	7	5	9	7	3	9	6	1	3	7	8	7	0	40	3	9	13	7	2	2	1	1	9	16	1	3	9	11	0	10	11	2	15	8	8	4	4	1	4	2	8	13	6	38	3	17	1	21	20	1	3	3	4	6	6	4	2	1	6	1	22	8	1	19	12	5	12	4	2	24	4	7	14	4	14	7	4	60	7	6	7	6	3	26	11	1	5	0	1	0	12	3	20	52	6	13	5	0	3	2	15	3	12	42	14	5	4	2	2	10	0	22	24	9	3	0	3	5	2	6	3	31	4	7	6	10	1	0	0	4	4	9	3	1	0	7	11	0	8	9	10	5	5	7	2	3	4	0	8	13	4	25	3	3	4	9	10	5	2	8	35	10	11	29	15	25	36	0	22	3	2	1	6	9	8	17	4	0	10	10	4	17	3	13	14	14	10	13	30	2	28	14	3	7	25	9	3	3	15	11	4	0	7	5	9	6	16	18	49	0	2	1	10	2	3	6	14	23	1	4	8	1	10	16	3	0	0	9	20	3	0	7	0	13	1	2	1	14	6	0	18	12	5	9	0	15	1
FlowRadio Playlists (and Blog)	0	0	1	0	1	0	0	0	0	0	0	4	0	24	0	0	13	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	1	2	2	0	0	1	0	0	0	8	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	3	13	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	1	18	5	5	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	0	15	0	0	0	2	0	0	1	24	0	0	5	0	0	0	4	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	0	0	2	0	0	1	15	2	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	17	0	1	0	0	1	0	0	1	0	10	0	0	35	0	0	3	0	0	3	2	1	2	0	0	0	2	1	0	0	0	1	0	0	3	0	16	0	0	0	1	4	4	0	0	0	0	0	24	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	1	0	0	4	1	0	0	0	1	0	8	0	9	0	0	0	0	0	22	0	0	8	0	11	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	147	0	0	0	0	0	40	5	1	3	0	0	2	0	0	0	1	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	3	5	0	2	0	3	0	17	0	0	0	2	0	2	6	0	1	0	1	1	1	0	0	0	0	0	7	0	2	0	0	0	2	1	3	0	0	0	0	0	45	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	101	9	0	2	1	0	0	0	0	0	0	1	0	0	0	0	3	0	12	0	0	0	0	0	131	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
